id,company,location,industry,total_laid_off,percentage_laid_off,date,stage,stage_group,funds_raised,country,source,date_added,year,month
11,Redis,SF Bay Area,Data,200,,2026-07-13,Series G,Late,357.00,United States,https://redis.io/blog/ceo-rowan-trollopes-organizational-announcement-to-redis-employees/,2026-07-13,2026,2026-07
12,Gigbanc,"Lagos, Non-U.S.",Finance,,1.00,2026-07-13,Seed,Early,1.00,Nigeria,https://africabusinesscommunities.com/tech-24/nigerian-fintech-startup-gigbanc-winds-down-operations/,2026-07-14,2026,2026-07
13,Alarum,"Tel Aviv, Non-U.S.",Security,,,2026-07-12,Post-IPO,Mature/Exit,34.00,Israel,https://www.calcalistech.com/ctechnews/article/4gnx3zo23,2026-07-13,2026,2026-07
14,GoKwik,"New Delhi, Non-U.S.",Finance,100,,2026-07-11,Unknown,Unknown,68.00,India,https://inc42.com/buzz/exclusive-gokwik-lays-off-around-120-employees-amid-ai-push/,2026-07-12,2026,2026-07
15,MyHeritage,"Tel Aviv, Non-U.S.",Consumer,500,0.15,2026-07-08,Acquired,Mature/Exit,49.00,Israel,https://en.globes.co.il/en/article-myheritage-to-lay-off-15-of-workforce-1001548761,2026-07-09,2026,2026-07
16,OpenText,"Waterloo, Non-U.S.",Data,400,0.02,2026-07-08,Post-IPO,Mature/Exit,1100.00,Canada,https://betakit.com/opentext-lays-off-two-percent-of-its-workforce/,2026-07-10,2026,2026-07
17,Mews,"Amsterdam, Non-U.S.",Travel,200,0.15,2026-07-07,Series D,Growth,817.00,Netherlands,https://skift.com/2026/07/07/mews-layoffs-restructuring-ai/,2026-07-08,2026,2026-07
18,Darrow,"Tel Aviv, Non-U.S.",Legal,60,0.33,2026-07-07,Series B,Early,63.00,Israel,https://www.calcalistech.com/ctechnews/article/hy7svt97ge,2026-07-08,2026,2026-07
19,Billion Hearts,"Bengaluru, Non-U.S.",Consumer,,1.00,2026-07-07,Seed,Early,5.00,India,https://inc42.com/buzz/koo-cofounder-mayank-bidawatka-shuts-new-startup-picsee/,2026-07-08,2026,2026-07
20,PokerStars,"Leeds, Non-U.S.",Consumer,,,2026-07-07,Acquired,Mature/Exit,,United Kingdom,https://sbcamericas.com/2026/07/07/pokerstars-layoffs-fanduel-restructure/,2026-07-08,2026,2026-07
21,Microsoft,Seattle,Other,4800,0.02,2026-07-06,Post-IPO,Mature/Exit,1.00,United States,https://www.cnbc.com/2026/07/06/microsoft-cuts-2point1percent-of-employees-as-xbox-unit-plans-to-spin-studios.html,2026-07-06,2026,2026-07
22,Amazon,Seattle,Retail,57,,2026-07-06,Post-IPO,Mature/Exit,8100.00,United States,https://www.geekwire.com/2026/filing-shows-amazon-cut-57-tech-jobs-in-washington-state-in-recent-weeks/,2026-07-09,2026,2026-07
23,Yield Guild Games,New York City,Crypto,35,,2026-07-06,Unknown,Unknown,36.00,United States,https://cointelegraph.com/news/yield-guild-games-cuts-35-staff-shuts-game-publisher-to-focus-on-ai,2026-07-08,2026,2026-07
24,Coursera,SF Bay Area,Education,,,2026-07-06,Acquired,Mature/Exit,458.00,United States,https://www.reuters.com/sustainability/coursera-cut-jobs-post-udemy-merger-restructuring-2026-07-06/,2026-07-08,2026,2026-07
25,Hotmart,"Belo Horizonte, Non-U.S.",Marketing,,0.10,2026-07-06,Series C,Growth,127.00,Brazil,https://g1.globo.com/trabalho-e-carreira/noticia/2026/07/06/hotmart-faz-layoff-e-demite-cerca-de-10percent-dos-funcionarios-em-reestruturacao.ghtml,2026-07-11,2026,2026-07
26,CorroHealth,"Kochi, Non-U.S.",Healthcare,800,,2026-07-03,Private Equity,Mature/Exit,376.00,India,https://www.onmanorama.com/news/kerala/2026/07/03/kerala-job-cuts-protest.html,2026-07-06,2026,2026-07
27,TikTok,"Dublin, Non-U.S.",Consumer,300,,2026-07-01,Acquired,Mature/Exit,,Ireland,https://startupfortune.com/tiktok-confirms-layoffs-in-singapore-and-three-other-cities-in-one-day/,2026-07-05,2026,2026-07
28,Tokopedia,"Jakarta, Non-U.S.",Retail,,0.90,2026-07-01,Acquired,Mature/Exit,2800.00,Indonesia,https://www.techinasia.com/tiktok-confirms-layoffs-in-indonesia,2026-07-03,2026,2026-07
29,PlaxidityX,"Tel Aviv, Non-U.S.",Security,80,,2026-06-30,Acquired,Mature/Exit,25.00,Israel,https://www.calcalistech.com/ctechnews/article/rj3q6xzmfg,2026-07-01,2026,2026-06
30,Elementor,"Tel Aviv, Non-U.S.",Media,100,0.30,2026-06-29,Series B,Early,65.00,Israel,https://www.calcalistech.com/ctechnews/article/sycgn6yxze,2026-06-30,2026,2026-06
31,Equip Health,San Diego,Healthcare,,0.04,2026-06-29,Unknown,Unknown,164.00,United States,https://bhbusiness.com/2026/06/29/digital-eating-disorder-treatment-startup-equip-health-rolls-out-layoffs/,2026-06-30,2026,2026-06
32,SAS,Raleigh,Data,300,,2026-06-26,Unknown,Unknown,,United States,https://www.newsobserver.com/news/business/article316281262.html,2026-06-27,2026,2026-06
33,ADP,Jersey City,HR,76,,2026-06-26,Post-IPO,Mature/Exit,,United States,https://www.nj.gov/labor/assets/PDFs/WARN/2026_WARN_Notice_Archive.pdf,2026-06-30,2026,2026-06
34,Culture Amp,"Melbourne, Non-U.S.",HR,70,0.09,2026-06-26,Series F,Late,257.00,Australia,https://www.capitalbrief.com/article/culture-amp-cuts-70-jobs-9-of-its-workforce-in-third-round-of-layoffs-in-3-years-400d7e8e-c8d8-4c82-b4c2-3bb36bdfb5d5/,2026-06-27,2026,2026-06
35,CompanyCam,Lincoln,Recruiting,,,2026-06-26,Series C,Growth,38.00,United States,https://journalstar.com/news/local/business/article_8361d6df-899e-4843-a5ed-634232e5c917.html,2026-06-27,2026,2026-06
36,JiviAI,"Gurugram, Non-U.S.",Healthcare,,1.00,2026-06-26,Seed,Early,,India,https://entrackr.com/exclusive/exclusive-jiviai-shuts-down-founder-ankur-jain-may-rejoin-bharatpe-12108207,2026-06-27,2026,2026-06
37,Bungie,Seattle,Consumer,292,,2026-06-25,Acquired,Mature/Exit,100.00,United States,https://www.geekwire.com/2026/sony-cuts-significant-number-of-jobs-at-bungie-following-end-of-destiny-2-development/,2026-06-27,2026,2026-06
38,BitGo,SF Bay Area,Crypto,90,0.15,2026-06-25,Unknown,Unknown,171.00,United States,https://x.com/mikebelshe/status/2070240967479996463,2026-06-26,2026,2026-06
39,Amperity,Seattle,Marketing,,,2026-06-25,Series D,Growth,187.00,United States,https://www.geekwire.com/2026/amperity-hit-with-layoffs-as-ai-changes-the-shape-of-the-customer-data-startup-and-how-it-operates/,2026-06-26,2026,2026-06
40,Sonos,Santa Barbara,Consumer,,0.03,2026-06-25,Post-IPO,Mature/Exit,455.20,United States,https://www.bloomberg.com/news/articles/2026-06-25/sonos-cuts-3-of-staff-across-user-experience-product-teams,2026-06-27,2026,2026-06
41,Cyberbit,"Tel Aviv, Non-U.S.",Security,,,2026-06-24,Unknown,Unknown,,Israel,https://www.calcalistech.com/ctechnews/article/r1wrssfffg,2026-06-25,2026,2026-06
42,Elastic,SF Bay Area,Data,,0.07,2026-06-24,Post-IPO,Mature/Exit,162.00,United States,https://www.elastic.co/blog/ceo-ash-kulkarni-announcement-to-elastic-employees,2026-06-24,2026,2026-06
43,Snyk,Boston,Security,,,2026-06-24,Series F,Late,849.00,United States,https://snyk.io/blog/a-note-to-our-customers-and-partners/,2026-06-24,2026,2026-06
44,Oracle,SF Bay Area,Other,21000,0.13,2026-06-23,Post-IPO,Mature/Exit,,United States,https://www.cnbc.com/2026/06/23/oracle-ai-job-cuts-layoffs-21000.html,2026-03-31,2026,2026-06
45,Ethereum Foundation,"Zug, Non-U.S.",Crypto,54,0.20,2026-06-23,Unknown,Unknown,18.00,Switzerland,https://www.coindesk.com/tech/2026/06/23/ethereum-foundation-cuts-20-of-staff-amid-leadership-exodus,2026-06-23,2026,2026-06
46,Lazada Group,"Singapore, Non-U.S.",Retail,,0.05,2026-06-23,Acquired,Mature/Exit,7200.00,Singapore,https://www.techinasia.com/lazada-cuts-5-workforce-sea-market-review,2026-06-23,2026,2026-06
47,Lucid Motors,SF Bay Area,Transportation,1500,0.18,2026-06-22,Post-IPO,Mature/Exit,8300.00,United States,https://arstechnica.com/cars/2026/06/lucid-lays-off-1500-workers-in-second-big-cut-of-the-year/,2026-06-23,2026,2026-06
48,91Trucks,"Gurugram, Non-U.S.",Transportation,100,0.70,2026-06-22,Series A,Early,5.00,India,https://entrackr.com/exclusive/exclusive-91trucks-lays-off-nearly-70-workforce-shuts-stores-as-growth-slows-12061133,2026-06-23,2026,2026-06
49,Tractive,"Vienna, Non-U.S.",Hardware,,,2026-06-22,Acquired,Mature/Exit,38.00,Austria,https://ooe.orf.at/stories/3359562/,2026-06-30,2026,2026-06
50,Lastminute,"Amsterdam, Non-U.S.",Travel,400,0.25,2026-06-17,Post-IPO,Mature/Exit,,Netherlands,https://res.cloudinary.com/lastminute-contenthub/image/upload/v1781669340/DAM/Artwork/lastminute.com/press_release/2026/20260617%20lastminute.com%20Announces%20AI%20Powered%20Transformation%20to%20Drive%20Its%20Next%20Phase%20of%20Growth_EN.pdf,2026-06-19,2026,2026-06
51,Optimove,"Tel Aviv, Non-U.S.",Marketing,,0.10,2026-06-17,Series A,Early,20.00,Israel,https://www.intergameonline.com/igaming/news/optimove-cut-jobs-artificial-intelligence-ai,2026-06-19,2026,2026-06
52,Robinhood,SF Bay Area,Finance,290,0.10,2026-06-16,Post-IPO,Mature/Exit,6200.00,United States,https://www.forbes.com/sites/tylerroush/2026/06/16/robinhood-cuts-10-of-workforce-citing-heavily-layered-operations/,2026-06-16,2026,2026-06
53,Artlist,"Tel Aviv, Non-U.S.",Media,200,0.40,2026-06-16,Unknown,Unknown,48.00,Israel,https://www.calcalistech.com/ctechnews/article/xrqudqiq6,2026-06-16,2026,2026-06
54,FNZ,"London, Non-U.S.",Finance,,,2026-06-16,Private Equity,Mature/Exit,3500.00,United Kingdom,https://citywire.com/new-model-adviser/news/exclusive-fnz-to-cut-jobs-in-turnaround-plan-after-1-4bn-loss/a2492053,2026-06-16,2026,2026-06
55,Matter Labs,"Berlin, Non-U.S.",Crypto,,,2026-06-16,Unknown,Unknown,308.00,Germany,https://x.com/gluk64/status/2066964567884747146,2026-06-19,2026,2026-06
56,Rackspace,San Antonio,Data,,0.15,2026-06-16,Acquired,Mature/Exit,17.00,United States,https://www.bizjournals.com/sanantonio/news/2026/06/16/rackspace-slashes-local-workforce.html,2026-06-19,2026,2026-06
57,Rivian,Detroit,Transportation,,0.02,2026-06-16,Post-IPO,Mature/Exit,10700.00,United States,https://techcrunch.com/2026/06/16/rivian-cuts-hundreds-of-workers-after-r2-deliveries-start/,2026-06-16,2026,2026-06
58,Pleo,"Copenhagen, Non-U.S.",Finance,50,,2026-06-12,Series C,Growth,428.00,Denmark,https://tech.eu/2026/06/12/pleo-undertakes-fresh-round-of-job-cuts-around-50-laid-off/,2026-06-12,2026,2026-06
59,ServiceNow,SF Bay Area,Support,54,,2026-06-11,Post-IPO,Mature/Exit,84.00,United States,https://www.siliconvalley.com/2026/06/11/tech-servicenow-jobs-salesforce-layoff-ubisoft-santa-clara-work-ai/amp/,2026-06-12,2026,2026-06
60,Opendoor,"Bengaluru, Non-U.S.",Real Estate,250,,2026-06-10,Post-IPO,Mature/Exit,1900.00,India,https://techcrunch.com/2026/06/10/opendoors-india-exit-is-fueling-a-bigger-conversation-about-ai-and-outsourcing/,2026-06-12,2026,2026-06
61,Veritone,Los Angeles,AI,111,0.25,2026-06-10,Post-IPO,Mature/Exit,514.00,United States,https://www.marketwatch.com/story/veritone-to-cut-at-least-25-of-workforce-64eca1cb,2026-06-19,2026,2026-06
62,Shopee,"Singapore, Non-U.S.",Food,,0.08,2026-06-10,Unknown,Unknown,,Singapore,https://www.straitstimes.com/business/seas-shopee-cuts-hundreds-of-developer-jobs-during-pivot-to-ai,2026-06-10,2026,2026-06
63,Paytm,"Noida, Non-U.S.",Finance,400,0.01,2026-06-09,Subsidiary,Mature/Exit,,India,https://www.moneycontrol.com/news/business/paytm-plans-10-staff-increase-in-ai-pivot-with-some-roles-cut-13944509.html,2026-06-22,2026,2026-06
64,Salesforce,SF Bay Area,Sales,86,,2026-06-09,Post-IPO,Mature/Exit,65.00,United States,https://www.businessinsider.com/salesforce-cuts-jobs-agentforce-2026-6,2026-06-09,2026,2026-06
65,Verily,SF Bay Area,Healthcare,58,,2026-06-09,Subsidiary,Mature/Exit,3500.00,United States,https://www.bizjournals.com/sanfrancisco/news/2026/06/09/sfbt-digest-tuesday-salesforce-layoffs-ucsf-fine.html,2026-06-10,2026,2026-06
66,Hailo,"Tel Aviv, Non-U.S.",Manufacturing,110,0.50,2026-06-08,Series C,Growth,344.00,Israel,https://www.calcalistech.com/ctechnews/article/3hmpcioxj,2026-06-08,2026,2026-06
67,Tools for Humanity,SF Bay Area,AI,,,2026-06-08,Series C,Growth,244.00,United States,https://africa.businessinsider.com/news/sam-altmans-eye-scanning-startup-is-laying-off-employees/xwm6hxe,2026-06-08,2026,2026-06
68,Zencity,"Tel Aviv, Non-U.S.",Other,15,,2026-06-07,Unknown,Unknown,51.00,Israel,https://www.calcalistech.com/ctechnews/article/rkxkiagbgg,2026-06-08,2026,2026-06
69,Quizlet,SF Bay Area,Education,79,,2026-06-05,Series C,Growth,62.00,United States,https://www.siliconvalley.com/2026/06/11/tech-servicenow-jobs-salesforce-layoff-ubisoft-santa-clara-work-ai/amp/,2026-06-12,2026,2026-06
70,FanDuel,New York City,Consumer,,,2026-06-05,Acquired,Mature/Exit,416.00,United States,https://frontofficesports.com/fanduel-is-latest-gambling-company-to-cut-jobs/,2026-06-09,2026,2026-06
71,Google,SF Bay Area,Consumer,,,2026-06-04,Post-IPO,Mature/Exit,26.00,United States,https://www.businessinsider.com/google-clouds-quiet-layoffs-hit-cybersecurity-teams-2026-6,2026-06-07,2026,2026-06
4327,Mapbox,Washington D.C.,Data,,,2020-04-06,Series C,Growth,227.00,United States,LinkedIn,2020-05-10,2020,2020-04
72,Dandy,New York City,Healthcare,160,,2026-06-03,Series D,Growth,172.00,United States,Internal memo,2026-06-09,2026,2026-06
73,Skai,"Tel Aviv, Non-U.S.",Marketing,100,0.20,2026-06-03,Series E,Growth,60.00,Israel,https://www.calcalistech.com/ctechnews/article/jmjuqzfe6,2026-06-07,2026,2026-06
74,Uber,SF Bay Area,Transportation,,0.01,2026-06-03,Post-IPO,Mature/Exit,25200.00,United States,https://www.cnbc.com/2026/06/03/uber-layoffs-people-division-ai.html,2026-06-04,2026,2026-06
75,GitLab,SF Bay Area,Product,350,0.14,2026-06-02,Post-IPO,Mature/Exit,413.00,United States,https://www.wsj.com/business/earnings/gitlab-to-cut-14-of-workforce-as-part-of-ai-pivot-493b9813,2026-05-11,2026,2026-06
76,Aleph Farms,"Tel Aviv, Non-U.S.",Food,10,,2026-06-02,Unknown,Unknown,119.00,Israel,https://www.calcalistech.com/ctechnews/article/ppgzisqav,2026-06-03,2026,2026-06
77,Manhattan Associates,Atlanta,Logistics,,0.06,2026-06-02,Post-IPO,Mature/Exit,,United States,https://www.marketwatch.com/story/manhattan-associates-to-cut-6-of-workforce-1ff43c4a,2026-06-03,2026,2026-06
78,Lightricks,"Jerusalem, Non-U.S.",Consumer,75,0.17,2026-06-01,Series D,Growth,335.00,Israel,https://www.calcalistech.com/ctechnews/article/r1dgjt5gmg,2026-05-28,2026,2026-06
79,Credit Karma,SF Bay Area,Finance,117,,2026-05-30,Acquired,Mature/Exit,868.00,United States,https://www.thestreet.com/employment/credit-karma-lays-off-hundreds-despite-631m-revenue-jump,2026-06-03,2026,2026-05
80,SentinelOne,SF Bay Area,Security,230,0.08,2026-05-29,Post-IPO,Mature/Exit,696.00,United States,https://www.calcalistech.com/ctechnews/article/r1goyeuxgx,2026-05-29,2026,2026-05
81,Interview Kickstart,SF Bay Area,Education,50,,2026-05-29,Unknown,Unknown,10.00,United States,https://inc42.com/buzz/blume-backed-interview-kickstart-lays-off-nearly-50-employees-amid-ai-automation-push/,2026-06-03,2026,2026-05
82,BenchSci,"Toronto, Non-U.S.",Healthcare,68,0.30,2026-05-28,Series D,Growth,164.00,Canada,https://thelogic.co/briefing/benchsci-lays-off-another-30-of-staff-as-it-embraces-ai-agents/,2026-07-24,2026,2026-05
83,Amdocs,St. Louis,Support,,0.07,2026-05-28,Post-IPO,Mature/Exit,,United States,https://www.calcalistech.com/ctechnews/article/u4qmp07cv,2026-06-12,2026,2026-05
84,Rapyd,"Tel Aviv, Non-U.S.",Finance,,,2026-05-28,Unknown,Unknown,770.00,Israel,https://www.calcalistech.com/ctechnews/article/h1r00jfrgzl,2026-05-28,2026,2026-05
85,NetApp,SF Bay Area,Data,77,,2026-05-27,Post-IPO,Mature/Exit,,United States,https://hoodline.com/2026/05/san-jose-mainstay-netapp-axes-77-jobs-as-bay-area-tech-cuts-deepen/,2026-05-28,2026,2026-05
86,Webflow,SF Bay Area,Marketing,,,2026-05-27,Series C,Growth,335.00,United States,https://webflow.com/blog/evolving-webflow-for-the-agentic-web,2026-05-27,2026,2026-05
87,Groupon,Chicago,Retail,400,0.25,2026-05-26,Post-IPO,Mature/Exit,1400.00,United States,https://www.wsj.com/business/groupon-to-cut-nearly-a-quarter-of-workforce-in-restructuring-a286bcd5,2026-05-26,2026,2026-05
88,BigID,New York City,Security,,0.20,2026-05-26,Series E,Growth,306.00,United States,https://www.calcalistech.com/ctechnews/article/b1lzc87ezl,2026-05-26,2026,2026-05
89,Picnic,Seattle,Food,,1.00,2026-05-26,Unknown,Unknown,52.00,United States,https://www.bizjournals.com/seattle/news/2026/05/26/picnic-works-cmbg-advisors-abc-baer-inting-bridges.html,2026-05-26,2026,2026-05
90,Wix,"Tel Aviv, Non-U.S.",Marketing,1000,0.20,2026-05-25,Post-IPO,Mature/Exit,58.00,Israel,https://www.calcalistech.com/ctechnews/article/b1oebi11xge,2026-05-25,2026,2026-05
91,ClickUp,San Diego,Other,,0.22,2026-05-21,Series C,Growth,537.00,United States,https://x.com/DJ_CURFEW/status/2057522382315929802?s=20,2026-05-21,2026,2026-05
92,Meta,SF Bay Area,Consumer,8000,0.10,2026-05-20,Post-IPO,Mature/Exit,26000.00,United States,https://www.cnbc.com/2026/05/20/meta-layoffs-zuckerberg-says-success-isnt-a-given-in-memo.html,2026-04-20,2026,2026-05
93,Intuit,SF Bay Area,Finance,3000,0.17,2026-05-20,Post-IPO,Mature/Exit,18.00,United States,https://www.reuters.com/business/world-at-work/intuit-cut-17-global-jobs-streamline-operations-memo-shows-2026-05-20/,2026-05-20,2026,2026-05
94,AI21 Labs,"Tel Aviv, Non-U.S.",AI,110,0.61,2026-05-18,Series D,Growth,626.00,Israel,https://en.globes.co.il/en/article-shashuas-ai21-labs-laying-off-60-of-employees-1001543241,2026-05-20,2026,2026-05
95,Kraken,SF Bay Area,Crypto,150,,2026-05-15,Unknown,Unknown,134.00,United States,https://www.bloomberg.com/news/articles/2026-05-15/kraken-cuts-150-workers-after-deploying-ai-ipo-may-slip-to-2027,2026-05-15,2026,2026-05
96,Innovaccer,SF Bay Area,Healthcare,340,,2026-05-14,Series E,Growth,379.00,United States,https://inc42.com/buzz/exclusive-healthtech-unicorn-innovaccer-lays-off-340-employees-in-another-restructuring-round/,2026-05-16,2026,2026-05
97,Dune,"Oslo, Non-U.S.",Crypto,,0.25,2026-05-14,Series B,Early,79.00,Norway,https://x.com/hagaetc/status/2054937771811192837?s=20,2026-05-15,2026,2026-05
98,Gambling.com Group,"Dublin, Non-U.S.",Other,,,2026-05-14,Post-IPO,Mature/Exit,276.00,Ireland,https://finance.yahoo.com/markets/stocks/articles/gambling-com-group-reports-first-200500152.html,2026-05-15,2026,2026-05
99,Cisco,SF Bay Area,Infrastructure,4000,0.05,2026-05-13,Post-IPO,Mature/Exit,2.00,United States,https://blogs.cisco.com/news/our-path-forward,2026-05-13,2026,2026-05
100,LinkedIn,SF Bay Area,Recruiting,875,0.05,2026-05-13,Acquired,Mature/Exit,154.00,United States,https://www.reuters.com/business/world-at-work/linkedin-is-planning-lay-off-5-staff-latest-tech-sector-cuts-source-says-2026-05-13/,2026-05-13,2026,2026-05
101,Jumia,"Lagos, Non-U.S.",Retail,200,,2026-05-13,Post-IPO,Mature/Exit,1200.00,Nigeria,https://thekenyatimes.com/latest-kenya-times-news/jumia-announces-job-cuts-as-company-expands-ai-use/,2026-05-15,2026,2026-05
102,Guesty,"Tel Aviv, Non-U.S.",Travel,20,0.02,2026-05-13,Series F,Late,411.00,Israel,https://www.geektime.co.il/guesty-lays-off-20-employees-in-israel/,2026-05-13,2026,2026-05
103,Breadfast,"Cairo, Non-U.S.",Food,58,,2026-05-12,Series C,Growth,89.00,Egypt,https://www.fwdstart.me/p/egyptian-grocery-delivery-startup-breadfast-cuts-58-tech-staff-months-after-50m-raise,2026-05-13,2026,2026-05
104,Trend Micro,"Sydney, Non-U.S.",Security,45,,2026-05-12,Post-IPO,Mature/Exit,,Australia,https://www.itnews.com.au/news/trend-micros-enterprise-unit-shuts-sydney-engineering-team-625788,2026-06-16,2026,2026-05
105,MRI Software,Cleveland,Real Estate,200,,2026-05-11,Acquired,Mature/Exit,16.00,United States,https://propmodo.com/private-equity-backed-proptech-firm-cuts-200-jobs-cites-ai-adoption/,2026-05-13,2026,2026-05
106,One Identity,"Dresden, Non-U.S.",Security,41,,2026-05-11,Unknown,Unknown,,Germany,https://www.heise.de/news/Verlagerung-ins-Ausland-One-Identity-schliesst-Entwicklung-in-Deutschland-11287793.html,2026-05-15,2026,2026-05
107,MessageBird,"Amsterdam, Non-U.S.",Other,,0.20,2026-05-11,Series C,Growth,1100.00,Netherlands,https://www.linkedin.com/posts/robertvis_this-is-a-note-i-sent-earlier-today-to-all-share-7459557337901645826-VIus/,2026-05-13,2026,2026-05
108,ZoomInfo,Portland,Sales,600,0.20,2026-05-10,Post-IPO,Mature/Exit,7.00,United States,https://finance.yahoo.com/news/zoominfo-stock-plunges-company-slashes-133002815.html,2026-05-11,2026,2026-05
109,Adda247,"Gurugram, Non-U.S.",Education,200,0.20,2026-05-10,Series B,Early,61.00,India,https://www.whalesbook.com/news/English/tech/Adda247-Cuts-Staff-Ahead-of-IPO-Signals-Profitability-Push/6a00cbb0707d23e84421af77,2026-05-11,2026,2026-05
110,Parker,New York City,Finance,,1.00,2026-05-09,Series B,Early,57.00,United States,https://techcrunch.com/2026/05/09/fintech-startup-parker-files-for-bankruptcy/,2026-05-11,2026,2026-05
111,Staffbase,"Chemnitz, Non-U.S.",Other,176,0.22,2026-05-08,Series E,Growth,306.00,Germany,https://www.msn.com/de-de/finanzen/top-stories/harter-einschnitt-bei-sachsens-einhorn-staffbase-streicht-jede-f%C3%BCnfte-stelle/ar-AA22HHQv,2026-05-11,2026,2026-05
112,Cloudflare,SF Bay Area,Security,1100,0.20,2026-05-07,Post-IPO,Mature/Exit,332.00,United States,https://blog.cloudflare.com/building-for-the-future/,2026-05-07,2026,2026-05
113,Bill.com,SF Bay Area,Finance,709,0.30,2026-05-07,Post-IPO,Mature/Exit,280.00,United States,https://www.bill.com/blog/a-message-to-bill-employees,2026-05-07,2026,2026-05
114,Ticketmaster,Los Angeles,Consumer,350,0.08,2026-05-07,Acquired,Mature/Exit,,United States,https://hoodline.com/2026/05/ticketmaster-axes-350-jobs-as-it-fast-tracks-new-tech/,2026-05-09,2026,2026-05
115,DeepL,"Cologne, Non-U.S.",AI,250,0.21,2026-05-07,Unknown,Unknown,400.00,Germany,https://www.linkedin.com/pulse/important-update-deepl-jarek-kutylowski-66yxe/,2026-05-07,2026,2026-05
116,Upwork,SF Bay Area,Other,151,0.24,2026-05-07,Post-IPO,Mature/Exit,168.00,United States,https://www.upwork.com/press/releases/upwork-ceo-hayden-brown-shared-the-following-message-with-employees-on-may-7-2026,2026-05-07,2026,2026-05
117,Truecaller,"Stockholm, Non-U.S.",Consumer,70,,2026-05-07,Post-IPO,Mature/Exit,101.00,Sweden,https://uk.investing.com/news/earnings/toast-shares-tumble-6-as-q1-earnings-fall-short-of-analyst-expectations-93CH-4660610,2026-05-07,2026,2026-05
118,Arctic Wolf,Minneapolis,Security,250,0.10,2026-05-06,Unknown,Unknown,899.00,United States,https://www.theregister.com/ai-and-ml/2026/05/06/arctic-wolf-cuts-250-jobs-in-ai-push/5231213,2026-05-07,2026,2026-05
119,Pocket FM,"Bengaluru, Non-U.S.",Media,100,0.10,2026-05-06,Series D,Growth,212.00,India,https://entrackr.com/exclusive/exclusive-pocket-fm-lets-go-of-over-100-employees-more-job-cuts-may-follow-11806323,2026-05-06,2026,2026-05
120,LSports,"Tel Aviv, Non-U.S.",Data,40,0.20,2026-05-06,Unknown,Unknown,,Israel,https://www.geektime.co.il/l-sports-lays-off-40-employees-in-israel/,2026-05-11,2026,2026-05
121,ApnaMart,"Bengaluru, Non-U.S.",Food,35,0.10,2026-05-06,Series B,Early,40.00,India,https://entrackr.com/news/apna-mart-lays-off-10-of-workforce-shifts-base-from-bengaluru-to-gurugram-11805807,2026-05-06,2026,2026-05
